Depth(ft)	GR (API)
7704.5	97.52
7705	96.1994872
7705.5	94.8789744
7706	91.819011
7706.5	87.862967
7707	84.346
7707.5	79.5934783
7708	85.49
7708.5	89.9191111
7709	99.086087
7709.5	104.491111
7710	108.874444
7710.5	115.252174
7711	112.833778
7711.5	105
7712	100.09913
7712.5	98.6884783
7713	95.4266667
7713.5	92.4853333
7714	87.8154348
7714.5	81.9
7715	76.3702222
7715.5	68.8828261
7716	63.3738889
7716.5	59.1794444
7717	51.8072527
7717.5	44.2422222
7718	38.5443478
7718.5	35.3503333
7719	38.967
7719.5	44.01
7720	49.98
7720.5	59.9497778
7721	67.9093478
7721.5	85.3042222
7722	95.8
7722.5	109.568352
7723	106.551868
7723.5	103.098222
7724	98.8117778
7724.5	94.8630435
7725	91.5666667
7725.5	88.9
7726	89.8342857
7726.5	91.9057143
7727	89.7264835
7727.5	87.2046667
7728	84.6358824
7728.5	83.7535294
7729	82.8711765
7729.5	83.4657143
7730	85.5371429
7730.5	87.23
7731	88.7447059
7731.5	90.2594118
7732	85.8977206
7732.5	86.5263971
7733	87.1550735
7733.5	87.5064835
7734	87.3196703
7734.5	87.6214286
7735	88.3741758
7735.5	86.9977778
7736	88.6542857
7736.5	91.2971429
7737	96.7617778
7737.5	100.747033
7738	97.7305495
7738.5	93.0861538
7739	85.5476923
7739.5	72
7740	59.6114286
7740.5	50.7542857
7741	50.0885294
7741.5	51.2208824
7742	53.1544444
7742.5	61.1491209
7743	64.5447253
7743.5	65.5037363
7744	62.4872527
7744.5	58.8111111
7745	54.6166667
7745.5	49.8893407
7746	44.9937363
7746.5	35.8253676
7747	38.09375
7747.5	40.3621324
7748	43.55
7748.5	47.7302198
7749	50.1807692
7749.5	60.4964444
7750	69.2068132
7750.5	74.4815385
7751	69.4866667
7751.5	62.9147253
7752	57.8268132
7752.5	55.0901099
7753	59.7989011
7753.5	72.2973333
7754	90.2426087
7754.5	101.633333
7755	107.889231
7755.5	112.416703
7756	133.082667
7756.5	142.403077
7757	149.36
7757.5	145.36
7758	139.039565
7758.5	129.166444
7759	121.806044
7759.5	115.965385
7760	105.274
7760.5	75.1937778
7761	62.19
7761.5	54.8543382
7762	56.9977206
7762.5	59.1411029
7763	67.9791304
7763.5	90.9217778
7764	110.985333
7764.5	122.683043
7765	122.34
7765.5	118.34
7766	116.86044
7766.5	113.184
7767	94.8814286
7767.5	86.0242857
7768	84.3677778
7768.5	92.2986957
7769	100.642889
7769.5	109.394444
7770	113.563043
7770.5	106.440667
7771	98.4068889
7771.5	81.4753846
7772	86.9424176
7772.5	95.7835556
7773	106.988
7773.5	113.831739
7774	116.266667
7774.5	114.361111
7775	123.232174
7775.5	137.692889
7776	134.296154
7776.5	130.246444
7777	124.724222
7777.5	115.821304
7778	108.643333
7778.5	111.31
7779	106.544783
7779.5	93.064
7780	86.6074725
7780.5	82.08
7781	78.8767033
7781.5	76.6589706
7782	78.9310294
7782.5	81.2030882
7783	85.9362222
7783.5	91.5053846
7784	95.4614286
7784.5	94.3768889
7785	91.5213333
7785.5	85.5034066
7786	80.6174725
7786.5	85.5130769
7787	91.4566667
7787.5	99.5801099
7788	107.305385
7788.5	103.226703
7789	90.6003297
7789.5	78.8806667
7790	78.0388235
7790.5	78.9211765
7791	80.268
7791.5	84.1747826
7792	85.1635556
7792.5	81.9246667
7793	77.6271429
7793.5	72.3524176
7794	70.0390608
7794.5	68.9948619
7795	67.950663
7795.5	67.4124176
7796	72.6926374
7796.5	77.6771429
7797	81.82
7797.5	83.3953846
7798	81.7030769
7798.5	85.7857778
7799	84.1182418
7799.5	78.838022
7800	77.0625735
7800.5	75.6765441
7801	74.7444853
7801.5	75.8805147
7802	77.0165441
7802.5	79.907
7803	84.857
7803.5	84.9718978
7804	82.5959854
7804.5	80.220073
7805	82.5802941
7805.5	85.3523529
7806	89.0188889
7806.5	94.3547059
7807	95.2370588
7807.5	96.1194118
7808	98.9195556
7808.5	101.926374
7809	104.376923
7809.5	102.291209
7810	100.113333
7810.5	110.867692
7811	105.77978
7811.5	101.160889
7812	97.5386667
7812.5	96.9083212
7813	99.039708
7813.5	101.171095
7814	108.478
7814.5	126.963778
7815	125.884615
7815.5	121.082222
7816	102.81
7816.5	95.4638462
7817	92.2364706
7817.5	94.2511765
7818	96.2658824
7818.5	101.222
7819	106.295217
7819.5	112.96
7820	116.447033
7820.5	113.617363
7821	108.554783
7821.5	98.62
7822	90.2311111
7822.5	81.58
7823	72.7228571
7823.5	60.5533333
7824	50.8965217
7824.5	48.6748529
7825	47.0388235
7825.5	46.6055556
7826	50.9833333
7826.5	55.1013043
7827	59.968
7827.5	74.4715556
7828	91.2008696
7828.5	92.4577778
7829	91.0565934
7829.5	90.0379121
7830	91.7357143
7830.5	92.6407778
7831	90.7352222
7831.5	92.4467391
7832	100.183333
7832.5	105.048242
7833	107.311978
7833.5	100.378333
7834	90.8505556
7834.5	90.1053846
7835	88.4708889
7835.5	82.6186765
7836	80.7289706
7836.5	78.8392647
7837	84.2093478
7837.5	96.164
7838	108.971304
7838.5	109.14
7839	106.09
7839.5	101.947143
7840	99.4321978
7840.5	104.333297
7841	112.134
7841.5	123.510222
7842	124.429231
7842.5	118.588571
7843	121.304444
7843.5	127.853478
7844	124.883778
7844.5	122.095714
7845	126.81
7845.5	132.853333
7846	136.078462
7846.5	130.424615
7847	112.478261
7847.5	94.7993333
7848	79.8171111
7848.5	82.1662637
7849	88.1295556
7849.5	109.661304
7850	120.99
7850.5	116.99
7851	108.876739
7851.5	105.218889
7852	109.052857
7852.5	111.124286
7853	107.125333
7853.5	103.94989
7854	101.504945
7854.5	105.087363
7855	110.463333
7855.5	121.258222
7856	123.454066
7856.5	115.34967
7857	111.217363
7857.5	109.51956
7858	103.695556
7858.5	100.636374
7859	99.1548889
7859.5	112.338
7860	128.81
7860.5	137.667143
7861	139.763297
7861.5	133.922637
7862	126.151429
7862.5	117.294286
7863	107.732333
7863.5	98.4186957
7864	108.076667
7864.5	109.456154
7865	105.686923
7865.5	101.323333
7866	100.902527
7866.5	105.803626
7867	114.260667
7867.5	114.007363
7868	110.424945
7868.5	93.6526667
7869	74.903913
7869.5	62.68
7870	58.68
7870.5	57.2015328
7871	59.2051825
7871.5	61.2088321
7872	65.7335556
7872.5	71.4533333
7873	74.1272527
7873.5	76.6846667
7874	83.0108791
7874.5	84.5163736
7875	83.6966667
7875.5	75.956087
7876	63.8308889
7876.5	65.3733333
7877	78.2991304
7877.5	88.98
7878	97.18
7878.5	93.5975824
7879	90.0554348
7879.5	89.2542222
7880	96.42
7880.5	104.725
7881	110.558
7881.5	114.369111
7882	112.046087
7882.5	105.304111
7883	98.160989
7883.5	95.7104396
7884	92.6811111
7884.5	88.0708824
7885	85.1738235
7885.5	82.2767647
7886	86.4628261
7886.5	99.1853333
7887	112.219111
7887.5	120.302418
7888	127.028352
7888.5	118.737143
7889	106.987556
7889.5	83.1434783
7890	66.1544444
7890.5	58.9155556
7891	63.6243478
7891.5	69.1375
7892	71.2808824
7892.5	73.4242647
7893	75.6838462
7893.5	71.9146154
7894	70.01
7894.5	74.01
7895	77.8904348
7895.5	78.9942857
7896	77.6756044
7896.5	73.5466667
7897	74.7437363
7897.5	77.5734066
7898	90.7618681
7898.5	83.4102198
7899	75.9882222
7899.5	68.366
7900	68.71
7900.5	75.639
7901	80.2112222
7901.5	79.306044
7902	76.4763736
7902.5	67.7813043
7903	56.5863235
7903.5	52.0495588
7904	47.5127941
7904.5	45.4871429
7905	47.5585714
7905.5	54.2317778
7906	66.5373333
7906.5	75.6112088
7907	83.3364835
7907.5	78.129011
7908	71.952
7908.5	67.1803297
7909	71.1363736
7909.5	80.3677778
7910	91.0208824
7910.5	95.1826471
7911	99.3444118
7911.5	88.9673333
7912	72.136087
7912.5	67.7329412
7913	68.6152941
7913.5	69.4976471
7914	67.5447826
7914.5	61.6986667
7915	58.0764444
7915.5	60.628913
7916	63.3311111
7916.5	64.4755556
7917	62.2421739
7917.5	59.7617778
7918	58.272967
7918.5	61.2894505
7919	66.1
7919.5	73.68
7920	83.732
7920.5	94.8448889
7921	99.4504348
7921.5	97.7573626
7922	95.12
7922.5	96.6422222
7923	97.5962637
7923.5	96.2775824
7924	93.3825275
7924.5	87.9154945
7925	81.6708889
7925.5	74.8153333
7926	63.8186957
7926.5	49.362
7927	49.1775824
7927.5	49.7645588
7928	49.1358824
7928.5	48.5072059
7929	52.7033333
7929.5	70.1645652
7930	83.9791176
7930.5	90.7879412
7931	97.5967647
7931.5	91.8324444
7932	84.0261538
7932.5	76.2953846
7933	69.0885294
7933.5	63.5407353
7934	57.9929412
7934.5	58.6984444
7935	72.4884783
7935.5	74.5011111
7936	69.5455556
7936.5	65.1483516
7937	61.9528889
7937.5	71.0640659
7938	76.5310989
7938.5	76.1365217
7939	67.7308889
7939.5	62.392
7940	66.6752174
7940.5	75.702
7941	80.8348352
7941.5	85.17
7942	74.3702198
7942.5	72.6724176
7943	72.6244444
7943.5	76.8188889
7944	77.6417582
7944.5	74.8120879
7945	67.5074725
7945.5	57.8975824
7946	44.4846154
7946.5	30.7328889
7947	35.8773333
7947.5	41.9417391
7948	50.5266667
7948.5	60.8933333
7949	69.3693407
7949.5	70.688022
7950	68.9317582
7950.5	65.7284615
7951	59.217
7951.5	52.3402941
7952	48.1785294
7952.5	44.0167647
7953	42.5515385
7953.5	46.3207692
7954	55.6869565
7954.5	66.3033333
7955	74.3088889
7955.5	72.5913187
7956	68.442967
7956.5	58.4435165
7957	54.4874725
7957.5	53.5417778
7958	58.8739706
7958.5	60.135
7959	61.3960294
7959.5	56.5978261
7960	50.732
7960.5	47.8305495
7961	45.38
7961.5	47.6688889
7962	51.0652174
7962.5	58.02
7963	62.7342857
7963.5	67.2068889
7964	71.3957778
7964.5	75.4346154
7965	79.3961538
7965.5	84.51
7966	88.0167033
7966.5	90.2536264
7967	84.0338462
7967.5	74.9933333
7968	62.0024176
7968.5	52.9584615
7969	51.5895556
7969.5	55.7784444
7970	63.9743478
7970.5	66.914
7971	70.202
7971.5	73.252
7972	76.7334783
7972.5	78.6877778
7973	74.4933333
7973.5	67.8282609
7974	66.99
7974.5	68.8026471
7975	69.435
7975.5	70.0673529
7976	75.2973913
7976.5	80.656
7977	86.3457143
7977.5	90.8676923
7978	86.8635556
7978.5	73.646
7979	64.5653846
7979.5	57.0269231
7980	53.6605495
7980.5	51.21
7981	53.4820588
7981.5	55.7541176
7982	63.578
7982.5	83.3723913
7983	93.0828889
7983.5	95.3717778
7984	90.9776087
7984.5	78.506
7985	78.1515385
7985.5	80.37
7986	80.37
7986.5	80.37
7987	80.37
7987.5	78.1084615
7988	72.4546154
7988.5	69.6434066
7989	68.8906593
7989.5	64.3611111
7990	59.5104396
7990.5	54.6695556
7991	49.2846154
7991.5	60.0318681
7992	73.6795556
7992.5	89.4438462
7993	99.6196703
7993.5	99.1166667
7994	85.3577778
7994.5	75.5234783
7995	61.7897778
7995.5	74.2453846
7996	85.4416484
7996.5	87.1394505
7997	85.7968889
7997.5	71.1751111
7998	54.8943478
7998.5	40.1869767
7999	35.5646512
7999.5	39.7623256
8000	43.96
8000.5	65.932093
8001	72.804186
8001.5	74.865814
8002	68.6754545
8002.5	57.7188372
8003	54.6681395
8003.5	53.9375194
8004	55.2127132
8004.5	56.487907
8005	59.8753488
8005.5	67.484186
8006	65.5748837
8006.5	55.1639535
8007	50.3965116
8007.5	48.8709302
8008	53.6383721
8008.5	67.0497674
8009	85.4674419
8009.5	109.972674
8010	127.538605
8010.5	109.056364
8011	95.5537209
8011.5	91.925814
8012	86.7825581
8012.5	78.76
8013	61.1560465
8013.5	60.1193023
8014	66.2239535
8014.5	72.8809091
8015	75.2804651
8015.5	75.4723256
8016	74.5646512
8016.5	70.267907
8017	61.9104651
8017.5	62.6129457
8018	61.8493798
8018.5	61.085814
8019	55.2993023
8019.5	47.8969767
8020	44.944186
8020.5	45.8976744
8021	50.9965116
8021.5	55.7286047
8022	64.0111628
8022.5	72.8593023
8023	78.6136364
8023.5	73.9172093
8024	65.5765116
8024.5	60.0313953
8025	57.1
8025.5	55.3790698
8026	55.0483721
8026.5	58.2925581
8027	50.5309091
8027.5	41.3818605
8028	37.5372093
8028.5	35.9339535
8029	34.4068217
8029.5	34.3304651
8030	36.6211628
8030.5	40.9225581
8031	46.8830233
8031.5	57.7869767
8032	63.9009302
8032.5	69.552907
8033	74.3261628
8033.5	73.2995349
8034	67.5516279
8034.5	62.9183721
8035	61.2437931
8035.5	62.375977
8036	67.0365116
8036.5	75.9718605
8037	86.1323256
8037.5	84.18
8038	78.4330233
8038.5	65.0148837
8039	60.6593103
8039.5	58.2052874
8040	52.7509302
8040.5	45.8846512
8041	41.4025581
8041.5	40.1932558
8042	44.2067442
8042.5	49.9639535
8043	69.0537209
8043.5	76.8872414
8044	79.2783721
8044.5	68.6403876
8045	68.8923256
8045.5	69.1442636
8046	66.8753488
8046.5	62.7697674
8047	52.5551163
8047.5	46.0706897
8048	41.3522989
8048.5	40.5569767
8049	44.5388372
8049.5	49.1765116
8050	55.78
8050.5	64.4088372
8051	67.297907
8051.5	63.8618605
8052	56.2918182
8052.5	50.7504651
8053	51.2965116
8053.5	52.8430233
8054	54.0769767
8054.5	49.0806977
8055	47.7135659
8055.5	48.6050388
8056	49.4965116
8056.5	54.5983721
8057	62.1588372
8057.5	69.4069767
8058	71.8962791
8058.5	67.5709302
8059	64.8406977
8059.5	64.1375723
8060	63.5682081
8060.5	62.9988439
8061	64.0204651
8061.5	69.0632558
8062	74.4548837
8062.5	80.4
8063	78.8767442
8063.5	75.9632558
8064	68.9913953
8064.5	59.5718182
8065	60.522093
8065.5	67.9544186
8066	66.607907
8066.5	64.4767442
8067	61.042093
8067.5	57.6062791
8068	58.7039535
8068.5	60.2957471
8069	61.1311628
8069.5	57.852093
8070	57.617907
8070.5	59.1411628
8071	57.5932558
8071.5	50.9639535
8072	54.637907
8072.5	58.8355814
8073	63.9590909
8073.5	68.8534884
8074	70.9523256
8074.5	80.0627907
8075	86.15
8075.5	92.6637209
8076	102.792326
8076.5	100.693488
8077	96.2190909
8077.5	88.2202326
8078	78.5067442
8078.5	66.2652326
8079	69.3175581
8079.5	76.2869767
8080	90.2460465
8080.5	95.9288462
8081	97.0634615
8081.5	98.0386047
8082	96.5153488
8082.5	93.3
8083	89.2809302
8083.5	87.9495349
8084	88.4017829
8084.5	89.4172868
8085	89.975814
8085.5	88.7
8086	88.6995349
8086.5	89.6530233
8087	89.4406977
8087.5	88.775
8088	88.1093023
8088.5	87.0927907
8089	84.3781395
8089.5	81.2363636
8090	74.4302326
8090.5	54.075814
8091	42.895814
8091.5	33.8844186
8092	30.1944961
8092.5	26.5045736
8093	27.7748837
8093.5	32.5027907
8094	45.8182558
8094.5	54.789186
8095	70.052093
8095.5	92.952093
8096	105.213023
8096.5	118.348837
8097	132.493023
8097.5	129.339302
8098	123.320909
8098.5	116.620233
8099	110.893488
8099.5	105.443023
8100	100.1
8100.5	99.7162791
8101	99.0134884
8101.5	96.0446512
8102	90.5190909
8102.5	82.9011628
8103	83.1110465
8103.5	85.2290698
8104	87.3355814
8104.5	88.7881395
8105	90.1253488
8105.5	92.0918605
8106	96.522093
8106.5	101.34186
8107	104.317442
8107.5	102.404651
8108	99.2109302
8108.5	96.0569767
8109	94.347907
8109.5	93.1395349
8110	98.8723256
8110.5	99.2372727
8111	93.2872093
8111.5	90.5947674
8112	92.3098837
8112.5	95.51
8113	100.696977
8113.5	102.603953
8114	102.269302
8114.5	99.8073563
8115	98.1062069
8115.5	99.3684884
8116	101.394651
8116.5	103.252326
8117	101.199535
8117.5	100.892093
8118	101.033953
8118.5	100.464186
8119	99.3657471
8119.5	99.1088372
8120	102.353023
8120.5	104.588837
8121	105.732248
8121.5	106.875659
8122	109.873721
8122.5	107.966744
8123	104.520909
8123.5	101.934186
8124	104.602791
8124.5	102.880233
8125	99.77
8125.5	97.3901163
8126	99.1052326
8126.5	102.185349
8127	105.953448
8127.5	108.781034
8128	112.426977
8128.5	112.758605
8129	113.130233
8129.5	114.089535
8130	116.926279
8130.5	123.522093
8131	132.994186
8131.5	135.842385
8132	138.238538
8132.5	138.653721
8133	134.118372
8133.5	128.393023
8134	123.53814
8134.5	120.160233
8135	115.17069
8135.5	120.452299
8136	123.998372
8136.5	125.335581
8137	131.202093
8137.5	133.585
8138	135.380233
8138.5	139.132791
8139	143.074419
8139.5	143.713538
8140	142.452
8140.5	141.190462
8141	133.477209
8141.5	127.03814
8142	121.465116
8142.5	110.957209
8143	106.441279
8143.5	105.109884
8144	108.044483
8144.5	111.526279
8145	113.640698
8145.5	110.966279
8146	104.506977
8146.5	98.6265116
8147	96.5863953
8147.5	94.4244186
8148	90.1372727
8148.5	84.6062791
8149	75.737907
8149.5	68.4546512
8150	74.17
8150.5	80.0076744
8151	84.2053488
8151.5	80.0665116
